"Product ID","Category","Sub Category","Type","Brand","Product Name","Product Description","Price","Tax","Store","Size","UOM","Image","Spice Level","Aisle No."
"45","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Snuggle SuperFresh Gel Air Freshener with Odor Eliminating Technology, Original","Renuzit Snuggle SuperFresh Gel Air Freshener with Odor Eliminating Technology, Original","1.29","1.0","","7 oz","7 oz","4241.jpg",,"15"
"46","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Glade","Glade Air Freshener, Solid, Apple Cinnamon","Glade Air Freshener, Solid, Apple Cinnamon","1.29","1.0","","6 oz","6 oz","4226.jpg",,"15"
"47","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Glade","Glade Solid Solid Air Freshener Clean Linen","Glade Solid Solid Air Freshener Clean Linen","1.29","1.0","","6 oz","6 oz","4217.jpg",,"15"
"49","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Air Freshener After the Rain Gel, Bottle","Renuzit Air Freshener After the Rain Gel, Bottle","1.29","1.0","","7 oz","7 oz","4243.jpg",,"15"
"50","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Air Freshener Lovely Lavender Gel, Bottle","Renuzit Air Freshener Lovely Lavender Gel, Bottle","1.29","1.0","","7 oz","7 oz","4242.jpg",,"15"
"51","Dorm Essentials","Air Fresheners & Candles","Air Freshener","Renuzit","Renuzit Gel Air Freshener Forever Raspberry","Renuzit Gel Air Freshener Forever Raspberry","1.29","1.0","","7 oz","7 oz","4244.jpg",,"15"
"52","Dorm Essentials","Air Fresheners & Candles","Air Freshener Refill","Air Wick","Air Wick Scented Oil Apple Cinnamon Medley Air Freshener Refill","Air Wick Scented Oil Apple Cinnamon Medley Air Freshener Refill","3.69","1.0","","0.67 fl oz","0.67 fl oz","4210.jpg",,"15"
"53","Dorm Essentials","Air Fresheners & Candles","Air Freshener Refill","Air Wick","Air Wick Scented Oil Lavender & Chamomile Air Freshener Refill","Air Wick Scented Oil Lavender & Chamomile Air Freshener Refill","3.69","1.0","","0.67 fl oz","0.67 fl oz","4206.jpg",,"15"
"54","Dorm Essentials","Air Fresheners & Candles","Automatic Spray & Refill","Air Wick","Air Wick Freshmatic Ultra Gadget Only Automatic Spray","Air Wick Freshmatic Ultra Gadget Only Automatic Spray","6.09","1.0","","1 count","1 count","4216.jpg",,"15"
"8246","Cooking Needs","Condiments & Sauces","Condiments","Market Basket","Market Basket Squeezable Mayonnaise","Market Basket Squeezable Mayonnaise","1.89","0.0","","12 fl oz","12 fl oz","Market Basket.jpg",,"2"
"55","Dorm Essentials","Air Fresheners & Candles","Automatic Spray & Refill","Air Wick","Air Wick Freshmatic Ultra Vanilla Passion Fragrance Automatic Spray Refill","Air Wick Freshmatic Ultra Vanilla Passion Fragrance Automatic Spray Refill","4.89","1.0","","6.17 oz","6.17 oz","4203.jpg",,"15"
"8248","Cooking Needs","Condiments & Sauces","Condiments","Market Basket","Market Basket Sweet Relish","Market Basket Sweet Relish","1.59","0.0","","10 fl oz","10 fl oz","Market Basket.jpg",,"2"
"8249","Cooking Needs","Condiments & Sauces","Condiments","Market Basket","Market Basket Tomato Ketchup","Market Basket Tomato Ketchup","1.29","0.0","","24 oz","24 oz","Market Basket.jpg",,"2"
"58","Dorm Essentials","Air Fresheners & Candles","Automatic Spray & Refill","Glade","Glade Automatic Spray Refill Clean Linen","Glade Automatic Spray Refill Clean Linen","4.89","1.0","","6.2 fl oz","6.2 fl oz","4227.jpg",,"15"
"8250","Cooking Needs","Condiments & Sauces","Condiments","Market Basket","Market Basket Tomato Ketchup","Market Basket Tomato Ketchup","1.29","0.0","","24 oz","24 oz","Market Basket.jpg",,"2"
"59","Dorm Essentials","Air Fresheners & Candles","Candle","Glade","Glade Crafted Soy Candle Sweet Pea Pear","Glade Crafted Soy Candle Sweet Pea Pear","8.59","1.0","","4.2 oz","4.2 oz","4223.jpg",,"12"
"60","Dorm Essentials","Air Fresheners & Candles","Candle","OW","OW Vanilla Candle","OW Vanilla Candle","1.29","1.0","","1 ct","1 ct","No Image.jpg",,"12"
"8252","Cooking Needs","Condiments & Sauces","Condiments","Market Basket","Market Basket Traditional Yellow Mustard","Market Basket Traditional Yellow Mustard","0.99","0.0","","14 oz","14 oz","Market Basket.jpg",,"2"
"61","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Air Wick","Air Wick Scented Oil Warmer","Air Wick Scented Oil Warmer","1.29","1.0","","1 count","1 count","4199.jpg",,"15"
"8253","Cooking Needs","Condiments & Sauces","Condiments","Market Basket","Market Basket Worcestershire Sauce","Market Basket Worcestershire Sauce","1.29","0.0","","10 fl oz","10 fl oz","Market Basket.jpg",,"2"
"62","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Febreze","Febreze Air Effects Air Refresher, Linen & Sky","Febreze Air Effects Air Refresher, Linen & Sky","3.49","1.0","","9.7 oz","9.7 oz","4235.jpg",,"15"
"63","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Febreze","Febreze Air Effects Air Refresher, Spring & Renewal","Febreze Air Effects Air Refresher, Spring & Renewal","3.74","1.0","","9.7 fl oz","9.7 fl oz","4238.jpg",,"15"
"64","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Febreze","Febreze Noticeables Warmer Oil Warmer","Febreze Noticeables Warmer Oil Warmer","3.74","1.0","","1 ct","1 ct","4240.jpg",,"15"
"65","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Glade","Glade Carpet & Room Refresher Clean Linen","Glade Carpet & Room Refresher Clean Linen","2.49","1.0","","32 oz","32 oz","4221.jpg",,"15"
"8258","Cooking Needs","Condiments & Sauces","Condiments","Newman's Own","Newman's Own Mild Salsa","Newman's Own Mild Salsa","3.09","0.0","","16 oz","16 oz","15378.jpg",,"0"
"67","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Glade","Glade Plug-In Apple Cinnamon Scented Oil","Glade Plug-In Apple Cinnamon Scented Oil","6.09","1.0","","2 count","2 count","4231.jpg",,"15"
"8259","Cooking Needs","Condiments & Sauces","Condiments","Ortega","Ortega Taco Sauce Original Thick & Smooth Medium","Ortega Taco Sauce Original Thick & Smooth Medium","1.89","0.0","","8 oz","8 oz","15350.jpg",,"7"
"8260","Cooking Needs","Condiments & Sauces","Condiments","Ortega","Ortega Taco Sauce Original Thick & Smooth Mild","Ortega Taco Sauce Original Thick & Smooth Mild","1.89","0.0","","8 oz","8 oz","15375.jpg",,"7"
"68","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Glade","Glade Spray Clean Linen","Glade Spray Clean Linen","1.49","1.0","","8 fl oz","8 fl oz","4219.jpg",,"15"
"8261","Cooking Needs","Condiments & Sauces","Condiments","Oscar Mayer","Oscar Mayer Organic Yellow Mustard","Oscar Mayer Organic Yellow Mustard","2.49","0.0","","8 oz","8 oz","15372.jpg",,"2"
"69","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Glade","Glade Spray Crisp Waters","Glade Spray Crisp Waters","1.49","1.0","","8 oz","8 oz","4220.jpg",,"15"
"70","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Glade","Glade Spray Hawaiian Breeze","Glade Spray Hawaiian Breeze","1.49","1.0","","8 fl oz","8 fl oz","4224.jpg",,"15"
"71","Dorm Essentials","Air Fresheners & Candles","Other Air Fresheners & Candles","Glade","Glade Spray Lavender & Vanilla","Glade Spray Lavender & Vanilla","1.49","1.0","","8 oz","8 oz","4218.jpg",,"15"
"8264","Cooking Needs","Condiments & Sauces","Condiments","Smart Balance","Smart Balance Mayo Light Mayonnaise","Smart Balance Mayo Light Mayonnaise","4.29","0.0","","32 fl oz","32 fl oz","15366.jpg",,"2"
"8265","Cooking Needs","Condiments & Sauces","Condiments","Spectrum","Spectrum Organic Mayonnaise","Spectrum Organic Mayonnaise","7.09","0.0","","16 oz","16 oz","15389.jpg",,"2"
"74","Dorm Essentials","Air Fresheners & Candles","Scented Oil Refill","Air Wick","Air Wick Essential Oils Scented Oil Refills Lavender & Chamomile","Air Wick Essential Oils Scented Oil Refills Lavender & Chamomile","6.09","1.0","","2 x 0.67 fl oz","2 x 0.67 fl oz","4209.jpg",,"15"
"8266","Cooking Needs","Condiments & Sauces","Condiments","Tabasco","Tabasco Green Pepper Sauce","Tabasco Green Pepper Sauce","1.69","0.0","","2 fl oz","2 fl oz","1584.jpg",,"2"
"75","Dorm Essentials","Air Fresheners & Candles","Scented Oil Refill","Air Wick","Air Wick Magnolia & Cherry Blossom Scented Oil Refill","Air Wick Magnolia & Cherry Blossom Scented Oil Refill","6.09","1.0","","1.34 fl oz","1.34 fl oz","4201.jpg",,"15"
"8268","Cooking Needs","Condiments & Sauces","Condiments","Tabasco","Tabasco Pepper Sauce","Tabasco Pepper Sauce","3.69","0.0","","5 oz","5 oz","1583.jpg",,"2"
