Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Spice Level,Aisle No.,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Roland ,Roland Classic Style Melba Sauce ,041224871823,,5.36,0,Market Basket,10 oz,10 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Sander's ,Sander's Dessert Topping  Classic Carmel ,035900171147,,4.99,0,Market Basket,10 oz,10 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Sander's ,Sander's Dessert Topping  Dark Chocolate Hot Fudge ,03590017307,,4.99,0,Market Basket,10 oz,10 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Sander's ,Sander's Dessert Topping  milk Chocolate Hot Fudge ,035900171222,,4.99,0,Market Basket,10 oz,10 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Fudge Topping ,051500021231,,2.50,0,Market Basket,15.5 oz,15.5 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Chocolate Fudge ,051500025017,,2.50,0,Market Basket,7.25 oz,7.25 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Chocolate ,051500025000,,2.50,0,Market Basket,7.25 oz,7.25 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Sundae Syrup ,051500025116,,3.13,0,Market Basket,20 oz,20 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Sundae Syrup Chocolate ,051500025130,,3.13,0,Market Basket,20 oz,20 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Sundea Syrup Caramel ,051500025123,,3.13,0,Market Basket,20 oz,20 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Sundea Syrup  Caramel Suger Free ,051500025185,,3.75,0,Market Basket,19.25 oz,19.25 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Chocolate Fudge Topping ,051500000229,,2.50,0,Market Basket,12 oz,12 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Hot Fudge Topping ,051500000489,,2.99,0,Market Basket,1 count,1 count,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Butterscotch Flavored Topping ,051500000205,,2.50,0,Market Basket,12.25 oz,12.25 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Strawberry Topping ,051500000267,,2.50,0,Market Basket,12.75 oz,12.75 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Pineapple Toppin ,051500000250,,2.50,0,Market Basket,12 oz,12 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Marshmallow Topping ,051500001202,,2.50,0,Market Basket,12.25 oz,12.25 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Smucker's,Smucker's Dark Chocolate Topping ,051500108659,,3.13,0,Market Basket,1 count,1 count,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Walden Farms ,Walden Farms Chocolate Syrup ,072457880559,,4.36,0,Market Basket,12 oz,12 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream Toppings,Ice Cream Toppings,Walden Farms ,Walden Frms Caramel Syrup ,072457880696,,4.36,0,Market Basket,12 oz,12 oz,,20,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Vanilla,Richarson's Farm,Richarson's Farm Vanilla Ice Cream 16% Butterfat,,Made with vanilla bean extract imported from Madagascar,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Vanilla,Richarson's Farm,Richarson's Farm French Vanilla Ice Cream 16% Butterfat,,Traditional vanilla with egg yolks for a rich flavor,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
Richardson's Farm Ice Cream,Ice Cream,Chocolate,Richarson's Farm,Richarson's Farm Chocolate Ice Cream 16% Butterfat,,Made with Bensdorp Cocoa imported all the way from Holland,32.99,0,Richardson's Farm,3 Gal. Tub,3 Gal. Tub,,,,,,,,,
