Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Meat & Seafood,Frozen Meat & Seafood,Frozen Shrimp,SeaMazz,SeaMazz Cooked Shrimp Ring with Cocktail Sauce,,SeaMazz Cooked Shrimp Ring with Cocktail Sauce,8.59,0,Market Basket,10 oz,10 oz,16057.jpg,,18
Meat & Seafood,Frozen Meat & Seafood,Other Frozen Meat,Steak-umm,Steak-umm Steaks Sliced,,Steak-umm Steaks Sliced,3.69,0,Market Basket,14 count,14 count,16030.jpg,,18
Meat & Seafood,Frozen Meat & Seafood,Other Frozen Seafood,Matlaw's,Matlaw's Stuffed Clams,,Matlaw's Stuffed Clams,4.29,0,Market Basket,9 x 20 oz,9 x 20 oz,16034.jpg,,18
Meat & Seafood,Frozen Meat & Seafood,Other Frozen Seafood,Yankee Trader Seafood,Yankee Trader Seafood Lobster Cakes - 2 CT,,Yankee Trader Seafood Lobster Cakes - 2 CT,3.69,0,Market Basket,6 oz,6 oz,16038.jpg,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Coleman,Coleman Uncured Hickory Smoked Bacon,,Coleman Uncured Hickory Smoked Bacon,9.19,0,Market Basket,0.75 lb,0.75 lb,4192.jpg,,22
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Farmland,Farmland Bacon,,Farmland Bacon,4.69,0,Market Basket,16 oz,16 oz,18048.jpg,,1
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Smithfield,Smithfield Bacon,,Smithfield Bacon,3.69,0,Market Basket,12 oz,12 oz,4187.jpg,,1
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Smithfield,Smithfield Bacon,,Smithfield Bacon,8.19,0,Market Basket,16 oz,16 oz,4188.jpg,,1
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Smithfield,Smithfield Bacon,,Smithfield Bacon,8.19,0,Market Basket,16 oz,16 oz,4191.jpg,,1
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Bacon,Wright,Wright Thick Sliced Hickory Smoked Bacon,,Wright Thick Sliced Hickory Smoked Bacon,8.59,0,Market Basket,24 oz,24 oz,16740.jpg,,1
Meat & Seafood,"Hot Dogs, Bacon & Sausage",Hot Dogs,Carando,Carando Spiral Recipe Sliced Deli Ham,,Carando Spiral Recipe Sliced Deli Ham,7.39,0,Market Basket,1 lb,1 lb,No Image.jpg,,1
