Product ID,Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
5994,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Gatorade,Gatorade Instant Powder Mix Lemon Lime,,Gatorade Instant Powder Mix Lemon Lime,3.74,0,Market Basket,8 x 1.23 oz,8 x 1.23 oz,bcs0446.jpg,,17
5995,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Gatorade,Gatorade Thirst Quencher Fruit Punch Powder Packs,,Gatorade Thirst Quencher Fruit Punch Powder Packs,3.74,0,Market Basket,8 x 1.24 oz,8 x 1.24 oz,No Image.jpg,,17
5996,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Monster,Monster Energy Low Carb 4 Pack,,Monster Energy Low Carb 4 Pack,8.74,0,Market Basket,4 x 16 fl oz,4 x 16 fl oz,bcs0447.jpg,,17
5998,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Monster,Monster Energy Pipeline Punch 4 Pack,,Monster Energy Pipeline Punch 4 Pack,8.74,0,Market Basket,4 x 16 fl oz,4 x 16 fl oz,bcs0449.jpg,,17
5999,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Monster,Monster Energy 10 Pack,,Monster Energy 10 Pack,19.36,0,Market Basket,10 x 16 fl oz,10 x 16 fl oz,bcs0450.jpg,,17
6000,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Monster,Monster Energy Ultra Sunrise 10 Pack,,Monster Energy Ultra Sunrise 10 Pack,19.36,0,Market Basket,10 x 16 fl oz,10 x 16 fl oz,bcs0451.jpg,,17
6001,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Monster,Monster Energy Low Carb 10 Pack,,Monster Energy Low Carb 10 Pack,19.36,0,Market Basket,10 x 16 fl oz,10 x 16 fl oz,bcs0452.jpg,,17
6002,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Monster,Monster Energy Zero Ultra 10 Pack,,Monster Energy Zero Ultra 10 Pack,19.36,0,Market Basket,10 x 16 fl oz,10 x 16 fl oz,bcs0453.jpg,,17
6005,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Monster,Monster Energy Ultra Rosa,,Monster Energy Ultra Rosa,2.49,0,Market Basket,16 fl oz,16 fl oz,bcs0455.jpg,,17
6010,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Mountain Dew,Mountain Dew Kickstart Black Cherry,,Mountain Dew Kickstart Black Cherry,2.49,0,Market Basket,16 fl oz,16 fl oz,3784.jpg,,17
6011,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Mountain Dew,Mountain Dew Kickstart Energizing Limeade Flavored Sparkling Juice Beverage,,Mountain Dew Kickstart Energizing Limeade Flavored Sparkling Juice Beverage,2.49,0,Market Basket,16 fl oz,16 fl oz,3783.jpg,,17
6009,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,NOS,NOS High Performance Energy Drink 8 Pack,,NOS High Performance Energy Drink 8 Pack,12.49,0,Market Basket,8 x 16 fl oz,8 x 16 fl oz,bcs0459.jpg,,17
6014,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull The Coconut Edition - Coconut Berry,,Red Bull The Coconut Edition - Coconut Berry,9.36,0,Market Basket,4 x 8.4 fl oz,4 x 8.4 fl oz,bcs0460.jpg,,17
6015,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull The Yellow Edition - Tropical,,Red Bull The Yellow Edition - Tropical,9.36,0,Market Basket,4 x 8.4 fl oz,4 x 8.4 fl oz,bcs0461.jpg,,17
6016,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull The Orange Edition - Tangerine,,Red Bull The Orange Edition - Tangerine,9.36,0,Market Basket,4 x 8.4 fl oz,4 x 8.4 fl oz,bcs0462.jpg,,17
6017,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Energy Drink,,Red Bull Energy Drink,4.36,0,Market Basket,16 fl oz,16 fl oz,3732.jpg,,17
6018,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Energy Drink,,Red Bull Energy Drink,22.49,0,Market Basket,12 x 8.4 fl oz,12 x 8.4 fl oz,3733.jpg,,17
6019,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Energy Drink,,Red Bull Energy Drink,3.13,0,Market Basket,12 fl oz,12 fl oz,3736.jpg,,17
6021,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Sugar Free,,Red Bull Sugar Free,22.49,0,Market Basket,12 x 8.4 fl oz,12 x 8.4 fl oz,3731.jpg,,17
6023,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Energy Drink,,Red Bull Energy Drink,2.49,0,Market Basket,8.4 fl oz,8.4 fl oz,bcs0463.jpg,,17
6024,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Sugar Free,,Red Bull Sugar Free,4.36,0,Market Basket,16 fl oz,16 fl oz,3739.jpg,,17
6026,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull The Blue Edition - Blueberry,,Red Bull The Blue Edition - Blueberry,9.36,0,Market Basket,4 x 8.4 fl oz,4 x 8.4 fl oz,3729.jpg,,17
6027,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull The Red Edition - Cranberry,,Red Bull The Red Edition - Cranberry,9.36,0,Market Basket,4 x 8.4 fl oz,4 x 8.4 fl oz,3740.jpg,,17
6028,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Total Zero Energy Drink,,Red Bull Total Zero Energy Drink,3.13,0,Market Basket,12 fl oz,12 fl oz,3728.jpg,,17
6030,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Peach Edition - Peach Nectarine,,Red Bull Peach Edition - Peach Nectarine,3.13,0,Market Basket,12 fl oz,12 fl oz,bcs0465.jpg,,17
6034,Beverages & Juices,Energy & Sports Drinks,Energy & Sports Drinks,Red Bull,Red Bull Blue Edition - Blueberry,,Red Bull Blue Edition - Blueberry,3.13,0,Market Basket,12 fl oz,12 fl oz,bcs0469.jpg,,17
6066,Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale,,Canada Dry Ginger Ale,1.24,0,Market Basket,2 L,2 L,16560.jpg,,17
6067,Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale Box of Cans,,Canada Dry Ginger Ale Box of Cans,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,16559.jpg,,17
6068,Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Diet Ginger Ale,,Canada Dry Diet Ginger Ale,6.86,0,Market Basket,12 x 12 fl oz,12 x 12 fl oz,bcs0494.jpg,,17
6069,Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale,,Canada Dry Ginger Ale,5.63,0,Market Basket,8 x 12 fl oz,8 x 12 fl oz,16576.jpg,,17
6071,Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale Box of Cans,,Canada Dry Ginger Ale Box of Cans,9.99,0,Market Basket,24 x 12 fl oz,24 x 12 fl oz,16604.jpg,,17
6074,Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Diet Ginger Ale Can,,Canada Dry Diet Ginger Ale Can,4.16,0,Market Basket,6 x 7.5 fl oz,6 x 7.5 fl oz,16562.jpg,,17
6075,Beverages & Juices,Ginger Ale & Ginger Beer,Ginger Ale,Canada Dry,Canada Dry Ginger Ale Can,,Canada Dry Ginger Ale Can,4.16,0,Market Basket,6 x 7.5 fl oz,6 x 7.5 fl oz,bcs0497.jpg,,17
