Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Amy's ,Amy's Burrito Cheddar Cheese,042272000715,,2.99,0,Market Basket,6 oz,6 oz,X4167.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Meal,Boston Market,Boston Market Chicken Parmesan,738912022321,,3.36,0,Market Basket,13.1 oz,13.1 oz,X4135.jpg,,18
Frozen Food,Frozen Pizza,Frozen Pizza,Celeste ,Celeste Suprema Pizza,019600046707,,1.25,0,Market Basket,5.96 oz,5.96 oz,X4859.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Celeste ,Celeste Original Pizza,019600046301,,1.25,0,Market Basket,5.08 oz,5.08 oz,X4861.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Chef Gusto,Chef Gusto Pepperani Mini Pizza Bangles ,664114952312,,6.24,0,Market Basket,31.1 oz,31.1 oz,X4846.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Chef Gusto,Chef Gusto Three Cheese Mini Pizza Bangles ,66414950073,,2.08,0,Market Basket,7 oz,7 oz,X4847.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Digiorno,Digiorno Three Meat ,071921814243,,7.49,0,Market Basket,26.4 oz,26.4 oz,X4931.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Digiorno,Digiorno Four Cheese ,071921003388,,7.49,0,Market Basket,28.2 oz,28.2 oz,X4932.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Digiorno,Digiorno Pepperoni,071921957032,,7.49,0,Market Basket,25 oz,25 oz,X4933.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,El Monterey,El Monterey Cheese Enchiladas,071007318108,,3.74,0,Market Basket,10 oz,10 oz,X4143.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,El Monterey,El Monterey Beef Enchiladas,071007306792,,3.74,0,Market Basket,10.25 oz,10.25 oz,X4144.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,El Monterey,El Monterey Chicken Enchiladas,071007323508,,3.74,0,Market Basket,10.25 oz,10.25 oz,X4146.jpg,,18
Frozen Food,Frozen Pizza,Frozen Pizza,Ellio's ,Ellio's Pepperoni Pizza ,041118009080,,3.36,0,Market Basket,18.90 oz,18.90 oz,X4850.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Ellio's ,Ellio's Supereme Pizza ,041118009813,,3.36,0,Market Basket,19.64 oz,19.64 oz,X4851.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Ellio's ,Ellio's Italian Sausage & Pepperoni Pizza,041118009806,,3.36,0,Market Basket,18.90 oz,18.90 oz,X4852.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Ellio's ,Ellio's Cheese Pizz ,04118009028,,3.36,0,Market Basket,18.30 oz,18.30 oz,X4853.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Farm Rich,Farm Rich Breaded Mozzarella Shapes Micky Mouse,041322172068,,6.24,0,Market Basket,16 oz,16 oz,X4842.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Fast Bites,Fast Bites Sausage & Cheese Biscuit,071421106183,,1.25,0,Market Basket,5.3 oz,5.3 oz,X3993.jpg,,18
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Feel Good Foods,Feel Good Foods Chicken Egg Rolls,899039002068,,5.49,0,Market Basket,9 oz,9 oz,X4806.jpg,,19
Frozen Food,Frozen Pizza,Frozen Pizza,Freschetta ,Freschetta Five Cheese ,072180566195,,6.24,0,Market Basket,17.71 oz,17.71 oz,X4924.jpg,,19
