"Product Id","Category","Sub Category","Type","Brand","Product Name","UPC Code","Product Description","Price","Tax","Store","Size","UOM","Image","Spice Level","Aisle No."
"6129","Beverages & Juices","Soft Drinks & Seltzers","Soft Drinks","Fresca","Fresca Original Citrus Soda Sparkling Flavored Soft Drink Zero Calorie And Sugar Free","","Fresca Original Citrus Soda Sparkling Flavored Soft Drink Zero Calorie And Sugar Free","1.24","0.0","Market Basket","2 L","2 L","16603.jpg","","17"
"5576","Chips, Cookies & Snacks","Candy & Chocolates","Candy & Chocolate","Skittles","Skittles Original Candy","","Skittles Original Candy","3.29","0.0","Market Basket","14 oz","14 oz","14967.jpg","","3"
"6429","Chips, Cookies & Snacks","Nuts, Seeds & Dried Fruit","Nuts, Seeds & Dried Fruit","Peeled Snacks","Peeled Snacks Organic Apple 2 The Core","","Peeled Snacks Organic Apple 2 The Core","3.75","0.0","Market Basket","2.8 oz","2.8 oz","15305.jpg","","6"
"7448","Cooking Needs","Canned Food","Canned & Jarred Vegetables","Goya","Goya Pink Beans","","Goya Pink Beans","1.49","0.0","Market Basket","15 oz","15 oz","5047.jpg","","9"
"13964","Breakfast & Dairy","Dairy & Eggs","Specialty Cheeses","Market Basket","Market Basket Shredded Cheddar Cheese","","Market Basket Shredded Cheddar Cheese","4.89","0.0","Market Basket","16 oz","16 oz","Market Basket.jpg","","1"
"32511","Frozen Food","Frozen Dinners & Entrees","Frozen Meal","Lean Cuisine ","Lean Cuisine Four Cheese Pizza","013800047199","Lean Cuisine Four Cheese Pizza","3.13","0.0","Market Basket","6 oz","6 oz","X4230.jpg","","18"
"6778","Cooking Needs","Baking & Cooking","Baking Ingredients","Baker's","Baker's Sweetened German's Chocolate Baking Bar","","Baker's Sweetened German's Chocolate Baking Bar","2.79","0.0","Market Basket","4 oz","4 oz","15721.jpg","","8"
"32501","Frozen Food","Frozen Dinners & Entrees","Frozen Meal","Lean Cuisine ","Lean Cuisine Santa Fe-Style Rice & Beans","013800172198","Lean Cuisine Santa Fe-Style Rice & Beans","2.5","0.0","Market Basket","                10 3/8 oz","                10 3/8 oz","X4218.jpg","","18"
"33381","Frozen Food","Frozen Dinners & Entrees","Frozen Appetizers & Sides","Mrs.Paul's","Mrs.Paul's Fish Sticks","011162111275","Mrs.Paul's Fish Sticks","6.24","0.0","Market Basket","24.6 oz","24.6 oz","X4398.jpg","","18"
"30760","Condiments & Dressings","Pickled Goods & Olives","Relish","Cains","Cains Tangy Dill relish ","041660205503","Cains Tangy Dill relish ","2.5","0.0","Market Basket","12 oz","12 oz","X2202.jpg","","2"
"7282","Cooking Needs","Spices & Seasonings","Spices & Seasonings","McCormick","McCormick GourmetÃ¢âÂ¢ Ancho Chile Pepper","","McCormick GourmetÃ¢âÂ¢ Ancho Chile Pepper","4.89","0.0","Market Basket","1.62 oz","1.62 oz","2199.jpg","","9"
"5270","Chips, Cookies & Snacks","Chips & Fruit Snacks","Chips & Pretzels","Good Health","Good Health Veggie Chips Monster Shaped","","Good Health Veggie Chips Monster Shaped","4.69","0.0","Market Basket","6.25 oz","6.25 oz","No Image.jpg","","0"
"14519","Breakfast & Dairy","Tea & Coffee","Tea","Bigelow ","Bigelow Chamomile Mint","","Bigelow Chamomile Mint","2.49","0.0","Market Basket","1.09 oz","1.09 oz","3414.jpg","","8"
"495","Laundry & Paper Goods","Laundry","Laundry Detergent","Tide","Tide purclean plant based detergent Honey Lavender","","Tide purclean plant based detergent Honey Lavender","14.99","1.0","Market Basket","69 fl oz","69 fl oz","No Image.jpg","","15"
"10116","Frozen Food","Ice Cream & Ice","Ice Cream & Ice","Kemps","Kemps Low Fat Strawberry Frozen Yogurt","","Kemps Low Fat Strawberry Frozen Yogurt","3.69","0.0","Market Basket","1.5 quart","1.5 quart","16157.jpg","","21"
"7303","Cooking Needs","Spices & Seasonings","Spices & Seasonings","McCormick","McCormick Grill Mates 25% Less Sodium Montreal Chicken Seasoning","","McCormick Grill Mates 25% Less Sodium Montreal Chicken Seasoning","2.49","0.0","Market Basket","2.87 oz","2.87 oz","2268.jpg","","9"
"9369","Frozen Food","Frozen Fruit & Juice","Frozen Juice","4C","4C Drink Mix Fruit Punch","","4C Drink Mix Fruit Punch","6.09","0.0","Market Basket","63 oz","63 oz","2948.jpg","","21"
"33294","Frozen Food","Frozen Dinners & Entrees","Frozen Appetizers & Sides","Michelina's","Michelina's Pizza Snack Rolls","717854152105","Michelina's Pizza Snack Rolls","1.25","0.0","Market Basket","4.5 oz","4.5 oz","X4118.jpg","","18"
"15239","Personal Care","Personal Needs","Oral Hygiene","Orajel","Orajel Sesame Street Berry Fun Training Toothpaste","","Orajel Sesame Street Berry Fun Training Toothpaste","4.93","1.0","Market Basket","1.5 oz","1.5 oz","17779.jpg","","13"
"10240","Frozen Food","Ice Cream & Ice","Ice Cream & Ice","Toll House","Toll House Cookie Dough Ice Cream","","Toll House Cookie Dough Ice Cream","3.69","0.0","Market Basket","1.5 quart","1.5 quart","18015.jpg","","21"
"31991","Beverages & Juices","Juices & Refrigerated Drinks","Juice & Nectars","Juicy Juice","Juicy Juice Apple Raspberry 100% Juice No Sugar Added","889497641503","Juicy Juice Apple Raspberry 100% Juice No Sugar Added","3.74","0.0","Market Basket","64 fl oz","64 fl oz","X2869.jpg","","10"
"35021","Pasta & Sauces","Gluten Free Pasta","Pasta Sauce","Victoria","Victoria Premium Sauce Fradiavolo Gluten Free","070234004556","Victoria Premium Sauce Fradiavolo Gluten Free","5.61","0.0","Market Basket","24 oz","24 oz","X1526.jpg","","4"
"4818","Chips, Cookies & Snacks","Chips & Fruit Snacks","Chips & Pretzels","Cape Cod","Cape Cod Kettle Cooked Original Reduced Fat Potato Chips Party Size","","Cape Cod Kettle Cooked Original Reduced Fat Potato Chips Party Size","6.23","0.0","Market Basket","14 oz","14 oz","927.jpg","","0"
"124","Kitchen & Cleaning","Cleaning Products","Disinfecting Wipes & Sprays","Lysol","Lysol Disinfecting Wipes Lemon & Lime Blossom","","Lysol Disinfecting Wipes Lemon & Lime Blossom","6.09","1.0","Market Basket","20.3 oz","20.3 oz","16811.jpg","","15"
"35148","Condiments & Dressings","Marinades, Ketchup & Sauces","Mustard Sauce","Woeber's","Woebers Reserve Whole Grain Dijon Mastard  ","074680003750","Woebers Reserve Whole Grain Dijon Mastard  ","6.24","0.0","Market Basket","5.3 oz","5.3 oz","X2170.jpg","","2"
"13868","Breakfast & Dairy","Dairy & Eggs","Soy & Lactose-Free","Blue Diamond Almond Breeze Almondmilk","Blue Diamond Almond Breeze Almondmilk Blue Diamond Almond Breeze Almond Cashew Blend Unsweetened Vanilla","","Blue Diamond Almond Breeze Almondmilk Blue Diamond Almond Breeze Almond Cashew Blend Unsweetened Vanilla","3.69","0.0","Market Basket","0.5 gal","0.5 gal","746.jpg","","1"
"3941","Fresh Produce","Fresh Vegetables","Pepper","Prime Time","Prime Time Sweet Mini Peppers","","Prime Time Sweet Mini Peppers","6.77","0.0","Market Basket","2 lb","2 lb","FP127.jpg","","20"
"3906","Fresh Produce","Fresh Vegetables","Onion","Fresh from the Start","Fresh from the Start Bag of Onions","","Fresh from the Start Bag of Onions","5.51","0.0","Market Basket","5 lb bag","5 lb bag","49.jpg","","20"
"5982","Beverages & Juices","Cocoa & Drink Mixes","Cocoa & Drink Mixes","Master of Mixes","Master of Mixes Agave Syrup","","Master of Mixes Agave Syrup","3.74","0.0","Market Basket","375 ml","375 ml","No Image.jpg","","17"
"5853","Richardson's Farm Ice Cream","Ice Cream Toppings","Ice Cream Toppings","Market Basket","Market Basket Chocolate Syrup","","Market Basket Chocolate Syrup","1.89","0.0","Market Basket","22 oz","22 oz","Market Basket.jpg","","8"
"13036","Breakfast & Dairy","Cereal","Cereal","Honey Bunches","Honey Bunches Of Oats Honey Roasted Cereal","","Honey Bunches Of Oats Honey Roasted Cereal","3.69","0.0","Market Basket","14.5 oz","14.5 oz","17544.jpg","","5"
"34092","Breakfast & Dairy","Cereal","Cereal","Post","Post Wheat 'N Bran Shredded Wheat Cereal ","884912180599","Post Wheat 'N Bran Shredded Wheat Cereal ","3.13","0.0","Market Basket","18 oz","18 oz","X3313.jpg","","5"
"4114","Meat & Seafood","Meat & Seafood Counter","Chicken","Perdue","Perdue Chicken","","Perdue Chicken","5.59","0.0","Market Basket","1 lb","1 lb","No Image.jpg","","22"
"6506","Chips, Cookies & Snacks","Nuts, Seeds & Dried Fruit","Nuts, Seeds & Dried Fruit","Blue Diamond","Blue Diamond Oven Roasted Almonds","","Blue Diamond Oven Roasted Almonds","9.99","0.0","Market Basket","16 oz","16 oz","No Image.jpg","","6"
"9103","Frozen Food","Frozen Dinners & Entrees","Frozen Appetizers & Sides","Birds Eye","Birds Eye Steamfresh ChefÃ¢â¬â¢s Favorites Lightly Sauced & Vegetables with Tomato Parmesan Sauce","","Birds Eye Steamfresh ChefÃ¢â¬â¢s Favorites Lightly Sauced & Vegetables with Tomato Parmesan Sauce","2.49","0.0","Market Basket","10.8 oz","10.8 oz","15821.jpg","","18"
"7403","Cooking Needs","Canned Food","Canned & Jarred Vegetables","CHI-CHI'S","Chi Chi's Diced Fiesta Green Chilis","","Chi Chi's Diced Fiesta Green Chilis","1.29","0.0","Market Basket","4 oz","4 oz","No Image.jpg","","9"
"6448","Beverages & Juices","Soft Drinks & Seltzers","Soft Drinks","Market Basket","Market Basket Orange Soda","","Market Basket Orange Soda","3.75","0.0","Market Basket","12 x 12 fl oz","12 x 12 fl oz","Market Basket.jpg","","17"
