"pdid","pid","weight","length","breadth","height","shipping_amount","shipping_type","created_at","updated_at"
"40","4363",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 15:33:31",NULL
"42","4173",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 15:41:20",NULL
"43","4095",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 15:42:26",NULL
"45","4048",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 15:52:10",NULL
"46","9211",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 15:57:17",NULL
"48","9213",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 15:59:45",NULL
"49","9214",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 16:01:09",NULL
"50","9215",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 16:06:00",NULL
"51","4747",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 16:06:43",NULL
"52","4749",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 16:14:37",NULL
"53","4750",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 16:15:06",NULL
"56","374",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 16:30:03",NULL
"58","3695",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 18:32:43",NULL
"59","3470",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 18:33:15",NULL
"60","13512",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 18:38:47",NULL
"61","13513",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 18:39:20",NULL
"62","13514",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 18:39:55",NULL
"63","13451",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 18:40:30",NULL
"70","5585",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:17:15",NULL
"71","5586",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:18:49",NULL
"72","5600",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:20:48",NULL
"73","5680",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:22:58",NULL
"74","5673",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:25:09",NULL
"75","5675",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:25:37",NULL
"76","5679",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:26:03",NULL
"77","5584",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:28:38",NULL
"78","5582",NULL,NULL,NULL,NULL,NULL,"0","2020-09-11 19:29:54",NULL
