"id","name","created_at","updated_at"
"1","customer","2020-07-07 07:39:59","2020-07-07 07:39:59"
"2","shopper","2020-07-07 07:39:59","2020-07-07 07:39:59"
"3","pos","2020-07-07 07:39:59","2020-07-07 07:39:59"
