"fid","title","heading","body","type","delete_type","created_at","updated_at"
"1","Specials for the Week","Special Delights",NULL,"0","1","2020-02-03 16:15:16","2020-11-02 11:07:47"
"2","HOLIDAY FOOD DONATION DRIVE","Help the ones in need!",NULL,"0","1","2020-08-13 02:30:17","2020-11-17 21:14:15"
