"atid","title","image","body","type","status","created_at","updated_at"
"25","Type",NULL,NULL,NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"26","Store",NULL,NULL,NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"27","Weight",NULL,NULL,NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
"28","Spice Level",NULL,NULL,NULL,"1","2020-05-02 19:39:07","2020-05-02 19:39:07"
