"id","title","massage","created_at","updated_at"
"2","net_banking on Returned","Hi [shipping_name],  return request for order no. [order_id] has been processed and the refund of Rs.[grand_total] will been initiated to your bank/wallet once the package is returned back to our dispatch center. Further it will take 7-10 working days for amount to reflect back to your source account.","2019-10-17 14:04:04","2019-10-17 14:16:12"
"3","COD on Returned","Hi [shipping_name], return request for order no. [order_id] has been processed,please keep the package ready with original invoice for return pickup by our courier partner and please contact us at https://sperkygem.com/contact for refund.","2019-10-17 14:27:17","2019-10-17 14:28:55"
"4","net_banking on Processing","Hi [shipping_name], we have cancelled your order no. # [order_id] placed on [date_created_at] and the refund of Rs. [grand_total] has been initiated to your bank/wallet and is expected to reflect within 7-10 days.","2019-10-17 14:33:32","2019-10-17 14:33:32"
"5","COD on Cancelled","Hi [shipping_name], we have cancelled your order no. #[order_id] placed on [date_created_at].","2019-10-17 14:35:53","2019-10-17 14:35:53"
"6","order Shipped","Hi [shipping_name],  Your order  #[order_id] is just shipped, you may expect the delivery within 4-5 business days. For assistance, please visit https://sperkygem.com/contact","2019-10-17 14:39:12","2019-10-17 14:39:12"
