"os_id","name","created_at","updated_at"
"3","Received","2020-08-29 20:07:31","2020-08-30 01:37:31"
"4","Shopping In-Progress","2020-08-29 20:07:31","2020-08-30 01:37:31"
"5","Shopping Completed","2020-08-29 20:07:43","2020-08-30 01:37:43"
"6","Ready for Pick-up","2020-08-29 20:07:43","2020-08-30 01:37:43"
"7","Completed","2020-08-29 20:08:09","2020-08-30 01:38:09"
"8","No Show","2020-08-30 18:51:11","2020-08-30 18:51:11"
