"bid","title","slug","image","status","created_at","updated_at"
"45","Gatorade","gatorade",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"46","Powerade","powerade",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"47","Glaceau Smartwater","glaceau-smartwater",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"48","Glaceau Vitaminwater","glaceau-vitaminwater",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"49","Monster","monster",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"50","Muscle Milk","muscle-milk",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"51","Coca Cola","coca-cola",NULL,"1","2020-05-02 19:39:34","2020-05-02 19:39:34"
"52","Coca Cola Zero","coca-cola-zero",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"53","Diet Coke","diet-coke",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"54","Canada Dry","canada-dry",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"55","7 up","7-up",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"56","Fanta","fanta",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"57","Sprite","sprite",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"58","Schwepps","schwepps",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"59","Pepsi","pepsi",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"60","Mountain Dew","mountain-dew",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"61","Dr Pepper","dr-pepper",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"62","Poland Spring","poland-spring",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"63","Aquafina ","aquafina",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"64","Harmless Harvest","harmless-harvest",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"65","Polar","polar",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"66","Tropicana ","tropicana",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"67","Simply","simply",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"68","Capri Sun","capri-sun",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"69","Ocean Spray","ocean-spray",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"70","Dole","dole",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"71","Mott's","mott-s",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"72","Arnold Palmer","arnold-palmer",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"73","Arizona","arizona",NULL,"1","2020-05-02 19:39:35","2020-05-02 19:39:35"
"74","Bigelow ","bigelow",NULL,"1","2020-05-02 19:39:36","2020-05-02 19:39:36"
"75","Snapple","snapple",NULL,"1","2020-05-02 19:39:36","2020-05-02 19:39:36"
"76","Thomas","thomas",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"77","Cheerios","cheerios",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"78","Kellogg's","kellogg-s",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"79","Quaker","quaker",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"80","Post ","post",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"81","Nature Valley ","nature-valley",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"82","Luna","luna",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"83","Carnation ","carnation",NULL,"1","2020-05-02 19:40:29","2020-05-02 19:40:29"
"84","B&M","b-m",NULL,"1","2020-05-02 19:40:44","2020-05-02 19:40:44"
"85","Bumble Bee","bumble-bee",NULL,"1","2020-05-02 19:40:44","2020-05-02 19:40:44"
"86","Wild Planet","wild-planet",NULL,"1","2020-05-02 19:40:44","2020-05-02 19:40:44"
"87","StarKist","starkist",NULL,"1","2020-05-02 19:40:44","2020-05-02 19:40:44"
"88","Amy's","amy-s",NULL,"1","2020-05-02 19:40:44","2020-05-02 19:40:44"
"89","SpaghettiOs","spaghettios",NULL,"1","2020-05-02 19:40:44","2020-05-02 19:40:44"
"90","Chef Boyardee","chef-boyardee",NULL,"1","2020-05-02 19:40:44","2020-05-02 19:40:44"
"91","Cape Cod","cape-cod",NULL,"1","2020-05-02 19:41:49","2020-05-02 19:41:49"
"92","Cheetos","cheetos",NULL,"1","2020-05-02 19:41:49","2020-05-02 19:41:49"
"93","Doritos","doritos",NULL,"1","2020-05-02 19:41:49","2020-05-02 19:41:49"
"94","Lay's","lay-s",NULL,"1","2020-05-02 19:41:49","2020-05-02 19:41:49"
"95","Tostitos","tostitos",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"96","Cheez-It","cheez-it",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"97","Nabisco Wheat Thins","nabisco-wheat-thins",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"98","Nabisco Ritz","nabisco-ritz",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"99","Nabisco Chips Ahoy!","nabisco-chips-ahoy",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"100","Nabisco Oreo","nabisco-oreo",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"101","Philadelphia","philadelphia",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"102","KIND","kind",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"103","Kellogg's Nutri-Grain","kellogg-s-nutri-grain",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"104","Nabisco belVita","nabisco-belvita",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"105","SkinnyPop","skinnypop",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"106","Smartfood","smartfood",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"107","Snyder's","snyder-s",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"108","Bachman","bachman",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"109","Rold Gold","rold-gold",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"110","Pop Secret","pop-secret",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"111","Pepperidge","pepperidge",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"112","Angie's","angie-s",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"113","Snack Factory","snack-factory",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"114","Ferrero","ferrero",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"115","Kit Kat","kit-kat",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"116","Ghiradelli","ghiradelli",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"117","Welch's","welch-s",NULL,"1","2020-05-02 19:41:50","2020-05-02 19:41:50"
"118","Fruit Roll-Ups","fruit-roll-ups",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"119","Mott's Medleys","mott-s-medleys",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"120","Sun-Maid","sun-maid",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"121","Fruit Gushers","fruit-gushers",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"122","Blue Diamond","blue-diamond",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"123","Planters","planters",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"124","Drake's Devil Dogs","drake-s-devil-dogs",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"125","Little Debbie","little-debbie",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"126","Hostess","hostess",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"127","Entenmann's","entenmann-s",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"128","Drake's","drake-s",NULL,"1","2020-05-02 19:41:51","2020-05-02 19:41:51"
"129","Dunkin Donuts","dunkin-donuts",NULL,"1","2020-05-02 19:42:19","2020-05-02 19:42:19"
"130","Maxwell House","maxwell-house",NULL,"1","2020-05-02 19:42:19","2020-05-02 19:42:19"
"131","StarBucks","starbucks",NULL,"1","2020-05-02 19:42:19","2020-05-02 19:42:19"
"132","Green Mountain","green-mountain",NULL,"1","2020-05-02 19:42:20","2020-05-02 19:42:20"
"133","NewEngland","newengland",NULL,"1","2020-05-02 19:42:20","2020-05-02 19:42:20"
"134","Cafe Bustelo","cafe-bustelo",NULL,"1","2020-05-02 19:42:20","2020-05-02 19:42:20"
"135","Folgers ","folgers",NULL,"1","2020-05-02 19:42:20","2020-05-02 19:42:20"
"136","Brisk","brisk",NULL,"1","2020-05-02 19:42:20","2020-05-02 19:42:20"
"137","Fuze ","fuze",NULL,"1","2020-05-02 19:42:20","2020-05-02 19:42:20"
"138","Hellmann","hellmann",NULL,"1","2020-05-02 19:42:44","2020-05-02 19:42:44"
"139","Nutella","nutella",NULL,"1","2020-05-02 19:42:44","2020-05-02 19:42:44"
"140","Jif","jif",NULL,"1","2020-05-02 19:42:44","2020-05-02 19:42:44"
"141","Patak","patak",NULL,"1","2020-05-02 19:42:44","2020-05-02 19:42:44"
"142","Aunt Jemimi","aunt-jemimi",NULL,"1","2020-05-02 19:42:44","2020-05-02 19:42:44"
"143","Horizon","horizon",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"144","Fairlife","fairlife",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"145","Garelick Farms","garelick-farms",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"146","Swiss Premium
","swiss-premium",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"147","Hood","hood",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"148","Swiss","swiss",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"149","Garelick","garelick",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"150","Lactaid","lactaid",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"151","Stonyfield","stonyfield",NULL,"1","2020-05-02 19:43:11","2020-05-02 19:43:11"
"152","Kate's","kate-s",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"153","Parmalat","parmalat",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"154","Lifeway","lifeway",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"155","Yoo-Hoo","yoo-hoo",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"156","Organic Valley","organic-valley",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"157","Dean's","dean-s",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"158","Dannon","dannon",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"159","Chobani","chobani",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"160","I Can't Believe It's Not Butter!","i-can-t-believe-it-s-not-butter",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"161","Land O Lakes","land-o-lakes",NULL,"1","2020-05-02 19:43:12","2020-05-02 19:43:12"
"162","Nestle Coffee-mate","nestle-coffee-mate",NULL,"1","2020-05-02 19:43:13","2020-05-02 19:43:13"
"163","Near East","near-east",NULL,"1","2020-05-02 19:43:46","2020-05-02 19:43:46"
"164","RiceSelect","riceselect",NULL,"1","2020-05-02 19:43:46","2020-05-02 19:43:46"
"165","Manitou","manitou",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"166","Light 'n Fluffy","light-n-fluffy",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"167","No Yolks","no-yolks",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"168","Thai Kitchen","thai-kitchen",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"169","Pennsylvania Dutch","pennsylvania-dutch",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"170","Ronzoni","ronzoni",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"171","La Choy","la-choy",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"172","Tinkyada","tinkyada",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"173","A Taste of Thai","a-taste-of-thai",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"174","KA-ME","ka-me",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"175","Manischewitz","manischewitz",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"176","Barilla","barilla",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"177","Banza","banza",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"178","Prince","prince",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"179","Mama Rosie's","mama-rosie-s",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"180","Buitoni","buitoni",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"181","Mama","mama",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"182","De Cecco","de-cecco",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"183","Angy's","angy-s",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"184","Mrs. T's","mrs-t-s",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"185","Nasoya","nasoya",NULL,"1","2020-05-02 19:43:47","2020-05-02 19:43:47"
"186","Dreamfields","dreamfields",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"187","Taste of Inspirations","taste-of-inspirations",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"188","Bionaturae","bionaturae",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"189","Pastene Polenta Instant","pastene-polenta-instant",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"190","Idahoan","idahoan",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"191","Arnold","arnold",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"192","Bell's","bell-s",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"193","Stove Top","stove-top",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"194","Flatout","flatout",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"195","Kontos","kontos",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"196","Joseph's","joseph-s",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"197","Thomas'","thomas-1",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"198","Old El Paso","old-el-paso",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"199","Ortega","ortega",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"200","Rio Rancho","rio-rancho",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"201","CHI-CHI'S","chi-chi-s",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"202","Guerrero","guerrero",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"203","La Banderita","la-banderita",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"204","Mission","mission",NULL,"1","2020-05-02 19:43:48","2020-05-02 19:43:48"
"205","Tumaro's","tumaro-s",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"206","Fiber One","fiber-one",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"207","Uncle Ben's","uncle-ben-s",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"208","Carolina","carolina",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"209","Birds Eye","birds-eye",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"210","Knorr","knorr",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"211","Simply Asia","simply-asia",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"212","Hormel","hormel",NULL,"1","2020-05-02 19:43:49","2020-05-02 19:43:49"
"213","MB","mb",NULL,"1","2020-05-02 20:48:08","2020-05-02 20:48:08"
"214","Bunny Love ","bunny-love",NULL,"1","2020-05-02 20:48:10","2020-05-02 20:48:10"
"215","Auertak","auertak",NULL,"1","2020-05-02 20:48:11","2020-05-02 20:48:11"
"216","Vidalia","vidalia",NULL,"1","2020-05-02 20:48:11","2020-05-02 20:48:11"
"217","Little Potato Company","little-potato-company",NULL,"1","2020-05-02 20:48:11","2020-05-02 20:48:11"
"218","Farm Pak Sweet Potatoes","farm-pak-sweet-potatoes",NULL,"1","2020-05-02 20:48:12","2020-05-02 20:48:12"
"219","Tina's","tina-s",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"220","Totino's","totino-s",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"221","Bagel","bagel",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"222","Smuker's","smuker-s",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"223","Red's","red-s",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"224","Hot Pockets","hot-pockets",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"225","Superpretzel","superpretzel",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"226","Lean Cuisine","lean-cuisine",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"227","White Castle","white-castle",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"228","Bagel Bites","bagel-bites",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"229","Farm Rich","farm-rich",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"230","El Monterey","el-monterey",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"231","Tgi Fridays","tgi-fridays",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"232","Yankee Trader","yankee-trader",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"233","Davio's Handmade","davio-s-handmade",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"234","Davio's","davio-s",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"235","Tatste Of Inspirations","tatste-of-inspirations",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"236","Spring Valley","spring-valley",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"237","Annie's","annie-s",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"238","Digiorno Stromboli","digiorno-stromboli",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"239","Sweet Earth","sweet-earth",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"240","Minute Maid","minute-maid",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"241","Lender's Original","lender-s-original",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"242","Pepperdge Farm","pepperdge-farm",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"243","New York Texas Toast","new-york-texas-toast",NULL,"1","2020-05-03 04:42:05","2020-05-03 04:42:05"
"244","Pepperidge Farm","pepperidge-farm",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"245","Udi's","udi-s",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"246","Food For Life","food-for-life",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"247","Food For Life Ezekiel","food-for-life-ezekiel",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"248","Caulipower","caulipower",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"249","Stonefire","stonefire",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"250","Bantam Bagels","bantam-bagels",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"251","Smart Ones","smart-ones",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"252","Jimmy Dean","jimmy-dean",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"253","Van's Waffle","van-s-waffle",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"254","Jimmy Dean Delights","jimmy-dean-delights",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"255","Van's","van-s",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"256","De Wafelbakers","de-wafelbakers",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"257","Pillsbury Toaster Strudel","pillsbury-toaster-strudel",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"258","Vitatops","vitatops",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"259","Golden","golden",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"260","Evol","evol",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"261","Atkins","atkins",NULL,"1","2020-05-03 04:42:06","2020-05-03 04:42:06"
"262","Green Giant","green-giant",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"263","Kodiak Cakes","kodiak-cakes",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"264","Whyman's","whyman-s",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"265","Cascadian Farm","cascadian-farm",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"266","Nature's","nature-s",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"267","Mama Rosie","mama-rosie",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"268","Rozetto","rozetto",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"269","Stouffer's","stouffer-s",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"270","Celeste","celeste",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"271","Ellio's","ellio-s",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"272","Digiorno","digiorno",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"273","Newman's Own","newman-s-own",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"274","Red Baron","red-baron",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"275","Cape Cod Cafe","cape-cod-cafe",NULL,"1","2020-05-03 04:42:07","2020-05-03 04:42:07"
"276","Red Barron","red-barron",NULL,"1","2020-05-03 04:42:08","2020-05-03 04:42:08"
"277","Freschetta","freschetta",NULL,"1","2020-05-03 04:42:08","2020-05-03 04:42:08"
"278","California Pizza Kitchen","california-pizza-kitchen",NULL,"1","2020-05-03 04:42:08","2020-05-03 04:42:08"
"279","Daiya","daiya",NULL,"1","2020-05-03 04:42:08","2020-05-03 04:42:08"
