Catagory,Sub Catagory,Type,Brand,product,Product Description,Price,Tax,Image,Store,Size,UOM,Spice Level,Aisle No.
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Glad,Glad Tall Kitchen Drawstring Bags Gain Original,,9.19,1,4675.jpg,,40,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Glad,Glad Tall Kitchen Drawstring Bags Lavender,,9.19,1,4666.jpg,,40,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Glad,Glad Tall Kitchen Drawstring Trash Bags,,14.69,1,4668.jpg,,90,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Glad,Glad Tall Kitchen Quick-Tie Trash Bags,,14.69,1,4681.jpg,,80,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Hefty,Hefty Odor Block Tall Drawstring Lavender Vanilla 13 Gallon Kitchen Bags,,8.59,1,4691.jpg,,45,x 13 gal,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Hefty,Hefty Strong Scent Free Tall Drawstring Bags,,7.99,1,4692.jpg,,45,x 1 gal,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Hefty,Hefty Tall Drawstring Clean Burst Kitchen Bags,,7.99,1,4682.jpg,,40,x 1 gal,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Hefty,Hefty Tall Kitchen Drawstring Bags Mega Pack Kitchen Bags,,14.09,1,4685.jpg,,90,x 1 gal,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Hefty,Hefty Ultra Strong Tall Drawstring Crisp Orchard Apple Kitchen Bags,,8.59,1,4689.jpg,,40,x 1 gal,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Drawstring Clear Tall Kitchen Bags,,3.69,1,Market Basket.jpg,,20,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Drawstring Tall Kitchen Bags,,3.69,1,Market Basket.jpg,,22,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Drawstring Tall Kitchen Bags,,3.69,1,Market Basket.jpg,,20,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Flex Drawstring Tall Kitchen Bags,,5.49,1,Market Basket.jpg,,38,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Flex Drawstring Tall Kitchen Bags,,10.99,1,Market Basket.jpg,,76,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Grip N Tie Tall Kitchen Bags,,1.89,1,Market Basket.jpg,,15,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Grip N Tie Tall Kitchen Bags,,3.69,1,Market Basket.jpg,,30,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Grip N Tie Tall Kitchen Bags,,10.39,1,Market Basket.jpg,,80,count,,12
Dorm Essentials,Trash Bags & Liners,Tall Trash Bags,Market Basket,Market Basket Tall Kitchen Black Drawstring Bags,,6.09,1,Market Basket.jpg,,40,count,,12
Dorm Essentials,Laundry,Laundry Detergent,Meyer,Meyer's Clean Day Laundry Detergent Lavender,,17.49,1,DE0001.jpg,,64,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Meyer,Meyer's Clean Day Laundry Detergent Lemon Verbena Scent,,17.49,1,DE0002.jpg,,64,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean clean&fresh 32 medium loads laundry detergent,,2.49,1,DE0003.jpg,,45.4,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean plus OXI  original fresh 28 medium loads laundry detergent,,2.49,1,DE0004.jpg,,45.4,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean fresh morning breeze 32 medium loads laundry detergent,,2.49,1,DE0005.jpg,,45.4,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean Odor Release 134 medium loads laundry detergent,,7.49,1,DE0006.jpg,,188,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean fresh morning breeze 134 medium loads laundry detergent,,7.49,1,DE0007.jpg,,188,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean clean&fresh 134 medium loads laundry detergent,,7.49,1,DE0008.jpg,,188,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean plus OXI  original fresh 117 medium loads laundry detergent,,7.49,1,DE0009.jpg,,188,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean tropical breeze 32 medium loads laundry detergent,,2.49,1,DE0010.jpg,,45.4,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean tropical breeze 178 medium loads laundry detergent,,9.86,1,DE0011.jpg,,250,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Sun,Sun Triple Clean plus OXI  original fresh 156 medium loads laundry detergent,,9.86,1,DE0012.jpg,,250,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Method,method laundry detergent ginger mango,,14.99,1,DE0013.jpg,,1.58,L,,15
Dorm Essentials,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Detergent Sparkling Fresh 40 Loads,,8.74,1,DE0014.jpg,,60,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Dark Protect Laundry Booster 40 Loads,,9.36,1,DE0015.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Booster Odor Blasters,,9.36,1,DE0016.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Oxi Clean,OxiClean Laundry Detergent Sparkling Fresh 67 Loads,,12.49,1,DE0017.jpg,,100.5,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Oxi Clean,OxiClean Stain Fighters Fresco aroma Laundry Detergent,,6.86,1,DE0018.jpg,,1.58,kg,,15
Dorm Essentials,Laundry,Laundry Detergent,Seventh Generation,Seventh Generation Ultra Power Plus Laundry Detergent fresh CITRUS scent,,15.61,1,DE0019.jpg,,95,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Seventh Generation,Seventh Generation Laundry Detergent fresh Lavender scent,,9.99,1,DE0020.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent Mountain Breeze 57 loads,,3.74,1,DE0021.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent Mountain Breeze 38 loads,,4.99,1,DE0022.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Detergent Odor Release 43 Loads,,3.74,1,DE0023.jpg,,65,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent After the Rain 57 loads,,3.74,1,DE0024.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent + CLOROX 85 loads,,9.99,1,DE0025.jpg,,128,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Concentrated Detergent After the Rain 115 loads,,9.99,1,DE0026.jpg,,150,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Detergent Odor Release 85 Loads,,9.99,1,DE0027.jpg,,128,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Natural Elements Linen & Lilies 57 Loads Laundry Detergent,,3.74,1,DE0028.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex Liquid Detergents,Purex Natural Elements Linen & Lilies 115 Loads Laundry Detergent,,9.99,1,DE0029.jpg,,150,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 19 pack Laundry Detergent,,4.99,1,DE0030.jpg,,19,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 22 pack Laundry Detergent,,5.61,1,DE0031.jpg,,22,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 29 pack Laundry Detergent,,5.61,1,DE0032.jpg,,29,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 45 pack Laundry Detergent,,9.99,1,DE0033.jpg,,45,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Purex,Purex 4 in 1 Pacs Mountain Breeze 58 pack Laundry Detergent,,9.99,1,DE0034.jpg,,58,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Plus Bleach Original 53 Loads Laundry Detergent,,12.49,1,DE0035.jpg,,95,oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Simply Clean& Fresh Daybreak Fresh 89 Loads Laundry Detergent,,11.86,1,DE0036.jpg,,128,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Simply + OXI Refreshing Breeze 74 Loads Laundry Detergent,,11.86,1,DE0037.jpg,,115,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Simply + OXI Refreshing Breeze 20 Loads Laundry Detergent,,4.36,1,DE0038.jpg,,31,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Simply Clean& Fresh Daybreak Fresh 22 Loads Laundry Detergent,,4.36,1,DE0039.jpg,,31,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide purclean plant based detergent Honey Lavender,,14.99,1,DE0040.jpg,,69,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Detergent Original 64 Loads,,14.99,1,DE0041.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Fresh Coral Blast Detergent 64 Loads,,14.99,1,DE0042.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Ultra OXI Detergent 59 Loads,,14.99,1,DE0043.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Plus Febreeze freshness spring & renewal Laundry Detergent,,14.99,1,DE0044.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Plus Coldwater Clean Detergent Original 59 Loads,,14.99,1,DE0045.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Detergent Original 96 Loads Laundry Detergent,,22.49,1,DE0046.jpg,,138,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Plus Febreeze freshness botanical rain 69 Loads,,14.99,1,DE0047.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Plus Bleach Original 59 Loads Laundry Detergent,,14.99,1,DE0048.jpg,,92,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Plus Downy Pods Laundry Detergent ,,16.24,1,DE0049.jpg,,32,x 30 oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Plus ultra OXI pods Laundry Detergent,,16.24,1,DE0050.jpg,,32,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Pods Fresh Coral Blast Laundry Detergent,,16.24,1,DE0051.jpg,,42,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Pods free&gentle Laundry Detergent,,22.49,1,DE0052.jpg,,72,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Pods Sport Odor Defense Laundry Detergent,,8.11,1,DE0053.jpg,,411,g,,15
Dorm Essentials,Laundry,Laundry Detergent,Tide,Tide Pods 3 in 1 Original Laundry Detergent,,8.11,1,DE0054.jpg,,460,g,,15
Dorm Essentials,Laundry,Laundry Detergent,Mrs Stewarts,Mrs Stewarts Concentrated Liquid Bluing Laundry Detergent,,2.49,1,DE0055.jpg,,8,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Dreft,Dreft Stage 2:active baby Laundry Detergent 32 Loads,,12.49,1,DE0056.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Market Basket,Market Basket Laundry Detergent OXI Fresh Scent,,3.74,1,Market Basket.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Market Basket,Market Basket Laundry Detergent Mountain Scent,,3.74,1,Market Basket.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Market Basket,Market Basket Laundry Detergent High Efficiency,,6.86,1,Market Basket.jpg,,100,fl oz,,15
Dorm Essentials,Laundry,Fabric Softener,Market Basket,Market Basket Ultra Fabric Softener Spring Scent 40 Loads,,4.99,1,Market Basket.jpg,,34,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Market Basket,Market Basket Stain Fighter & Color Booster Concentated 48 Loads Laundry Detergent,,7.49,1,Market Basket.jpg,,66,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Dynamo,Dynamo Purple Wildflowers 60 Loads Laundry Detergent,,4.36,1,DE0057.jpg,,60,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Dynamo,Dynamo Laundry Detergent Quick Dissolve Sheets 30 Flicks,,1.24,1,DE0058.jpg,,20,pack,,15
Dorm Essentials,Laundry,Laundry Detergent,Ivory Snow,Ivory Snow Gentle Care Detergent 16 Loads ,,6.86,1,DE0059.jpg,,25,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Plus the Power of OxiClean Stain Fighters Sparkling Waters Laundry Detergent,,4.99,1,DE0060.jpg,,43.75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Clean& Simple Laundry Detergent Crisp Clean,,9.99,1,DE0061.jpg,,122.5,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Clean& Simple Laundry Detergent Crisp Clean,,4.99,1,DE0062.jpg,,43.75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Plus the Power of OxiClean Stain Fighters Fresh Scent Laundry Detergent,,9.99,1,DE0063.jpg,,122.5,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Sensitive Skin plus Fresh Scent 100 Loads Laundry Detergent,,9.99,1,DE0064.jpg,,150,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Sensitive Skin fresh & Clear 32 Loads Laundry Detergent,,4.99,1,DE0065.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer Sensitive Skin fresh & Clear 50 Loads Laundry Detergent,,6.24,1,DE0066.jpg,,75,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer detergent plus Softener Orchard Blosson,,4.99,1,DE0067.jpg,,50,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,Arm & Hammer,Arm & Hammer plus OXI CLEAN 5 in 1 power packs Laundry Detergent,,9.99,1,DE0068.jpg,,40,packs,,15
Dorm Essentials,Laundry,Scent Booster,Arm & Hammer,Arm & Hammer Clean Scentsations Scent booster Fresh Burst,,4.99,1,DE0069.jpg,,24,oz,,15
Dorm Essentials,Laundry,Scent Booster,Arm & Hammer,Arm & Hammer Clean Scentsations Scent booster Clean Meadow,,4.99,1,DE0070.jpg,,24,oz,,15
Dorm Essentials,Laundry,Scent Booster,Arm & Hammer,Arm & Hammer Clean Scentsations Scent booster Purifying Waters,,4.99,1,DE0071.jpg,,24,oz,,15
Dorm Essentials,Laundry,Fabric Softener,all,all fabric softener free clear 40 loads,,3.74,1,DE0072.jpg,,32,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters original 4 in 1 mighty pacs Laundry Detergent,,10.61,1,DE0073.jpg,,39,pacs,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters free clear 4 in 1 mighty pacs Laundry Detergent,,10.61,1,DE0074.jpg,,39,pacs,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters fresh tropical mist detergent 26 Loads Laundry Detergent,,3.74,1,DE0075.jpg,,40,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters original detergent 66 Loads Laundry Detergent,,10.61,1,DE0076.jpg,,100,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters free clear detergent 24 Loads Laundry Detergent,,3.74,1,DE0077.jpg,,36,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters baby detergent 24 Loads Laundry Detergent,,3.74,1,DE0078.jpg,,36,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters free clear odor relief 49 Loads Laundry Detergent,,10.61,1,DE0079.jpg,,88,fl oz,,15
Dorm Essentials,Laundry,Laundry Detergent,all,all stainlifters exhilarating laender 66 Loads Laundry Detergent,,10.61,1,DE0080.jpg,,100,fl oz,,15
